word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example_pt,example_en,image,distractors,exercise_order
002_01,por favor,please,poor fah-VOR,phrase,beginner_1,"POR FAVOR = 'FOR a FAVOR' - please do me a favor!",Literally 'for favor' - essential courtesy phrase,Use ALWAYS when asking for anything - Portuguese expect politeness,Essential courtesy - use when asking for anything,Um café por favor.,A coffee please.,please,"obrigado;de nada;desculpe",1
002_02,se faz favor,please (formal),suh fahsh fah-VOR,phrase,beginner_2,"SE FAZ FAVOR = 'if it DOES favor' - if it pleases you",Literally 'if it does favor' - very polite,More formal - often used with waiters or in shops,More formal version - common in Portugal especially with service staff,A conta se faz favor.,The bill please.,waiter,"por favor;com licença;desculpe",2
002_03,obrigado,thank you (male),oh-bree-GAH-doo,phrase,beginner_1,"OBRIGADO = 'OBLIGATED' - I'm obligated to thank you!",Said by MALES - women say 'obrigada'. The speaker's gender matters!,Gender of SPEAKER determines ending - not who you're thanking,Men say obrigado / Women say obrigada - based on YOUR gender!,Muito obrigado!,Thank you very much!,thanks_male,"obrigada;de nada;por favor",3
002_04,obrigada,thank you (female),oh-bree-GAH-dah,phrase,beginner_1,"OBRIGADA ends in A = said by A woman",Said by FEMALES - the -a ending matches feminine speaker,Your gender determines the word - not the person you're thanking,Women say obrigada / Men say obrigado,Obrigada pela ajuda!,Thank you for the help!,thanks_female,"obrigado;de nada;por favor",4
002_05,de nada,you're welcome,duh NAH-dah,phrase,beginner_1,"DE NADA = 'of NOTHING' - it was nothing!",Literally 'of nothing' - most common response to thanks,Standard reply to 'obrigado/a' - very common,Literally 'of nothing' - most common response to thanks,Obrigado! De nada.,Thank you! You're welcome.,handshake,"obrigado;por favor;com licença",5
002_06,desculpe,sorry/excuse me,dush-KOOL-puh,phrase,beginner_2,"DESCULPE = 'DIS-CULP' - remove my guilt/culpability!",Formal/polite apology - use for mistakes or to get attention,Use to apologize OR to politely get someone's attention,Use to apologize or get attention politely,Desculpe o atraso.,Sorry for the delay.,sorry,"perdão;com licença;por favor",6
002_07,com licença,excuse me (passing),kohm lee-SEN-sah,phrase,beginner_2,"COM LICENÇA = 'with LICENSE' - with your permission!",Literally 'with license/permission' - for physical space,Use when passing someone squeezing by or entering a room,Use when passing someone or entering a room,Com licença posso passar?,Excuse me may I pass?,door,"desculpe;por favor;perdão",7
002_08,sim,yes,seem,word,beginner_1,"SIM sounds like 'SEEM' - yes it seems so!",Simple affirmative - rhymes with English 'seem',Often doubled for emphasis: 'sim sim' = 'yes yes',Simple yes - nasal sound at the end,Sim está correto.,Yes that's correct.,check,"não;talvez;claro",8
002_09,não,no,nowng,word,beginner_1,"NÃO = nasal 'NOW' - no not now!",Nasal 'ão' sound - air through nose. Also used for negation,The tilde (~) indicates nasal sound - practice making it nasal,Nasal sound - air through nose. Very important Portuguese sound!,Não obrigado.,No thank you.,x_mark,"sim;talvez;nada",9
002_10,talvez,maybe/perhaps,tahl-VESH,word,beginner_2,"TALVEZ = 'TALL VASE' - maybe that tall vase?",Followed by subjunctive in formal usage - casual: indicative okay,Useful for non-committal responses - very common in conversation,The 'lv' combination sounds like in 'silver',Talvez amanhã.,Maybe tomorrow.,thinking,"sim;não;claro",10
002_11,claro,of course/clear,KLAH-roo,word,beginner_2,"CLARO = 'CLEAR' - of course that's clear!",Also means 'clear' or 'light' (color). Shows strong agreement,Very versatile - can mean 'of course' 'clear' or 'light colored',Shows strong agreement or confirmation - very useful!,Claro que sim!,Of course!,lightbulb,"sim;talvez;certamente",11
002_12,está bem,okay/all right,sh-TAH baym,phrase,beginner_1,"ESTÁ BEM = 'it IS GOOD' - everything is well!",Very common agreement phrase - used constantly,Multi-purpose: agree to something confirm understanding say goodbye,Very common - used to agree or confirm - like 'okay' or 'alright',Está bem até logo.,Okay see you later.,ok_hand,"tudo bem;claro;sim",12
