word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
009_01,estar,to be (temporary),sh-TAR,grammar,beginner_1,"ESTAR = 'stay' for temporary STATES - E-STAR (star that moves!)","ESTAR is for temporary states: location mood health conditions. Use SER for permanent traits.","The ser/estar distinction is crucial in Portuguese - natives immediately notice mistakes!","Use for temporary states - location feelings health",Estar bem é importante.,Being well is important.,Vou estar em casa.,I will be at home.,thermometer,"ser;ter;ir",1
009_02,eu estou,I am,AY-oo sh-TOH,grammar,beginner_1,"EU ESTOU - 'I stay' in this STATE right now","First person singular of estar. Use for how you feel NOW not your personality.","'Estou bem' is the standard response to 'Como está?' - automatic in conversation.","Temporary states - how you feel where you are",Eu estou bem.,I am well (right now).,Eu estou cansado.,I am tired.,person_feeling,"eu sou;eu tenho;eu vou",2
009_03,tu estás,you are (informal),too sh-TAHSH,grammar,beginner_2,"TU ESTÁS - the final S = informal (TU has an S in it!)","Second person informal (tu). The 's' ending marks tu conjugations.","In Porto people use 'tu' more than Lisbon. Know both forms!","Asking about temporary state informally",Tu estás cansado?,Are you tired?,Tu estás onde?,Where are you?,friends_talking,"você está;ele está;eu estou",3
009_04,você está,you are (formal),voh-SAY sh-TAH,grammar,beginner_1,"VOCÊ ESTÁ - same as ELE/ELA form - VOCÊ is formal YOU","Formal 'you'. Same conjugation as ele/ela. Safer in new situations.","In business always use 'você está' until invited to use 'tu'.","Asking about temporary state formally",Você está bem?,Are you well?,Você está pronto?,Are you ready?,formal_greeting,"tu estás;ele está;eu estou",4
009_05,ele está,he is,EL-uh sh-TAH,grammar,beginner_1,"ELE ESTÁ - HE is in this STATE (temporary)","Third person masculine singular. Same form as você/ela está.","'Ele não está' (he's not in) is what you'll hear when someone is unavailable.","His temporary location or state",Ele está em casa.,He is at home.,Ele está ocupado.,He is busy.,man_location,"ela está;eu estou;ele é",5
009_06,ela está,she is,EL-ah sh-TAH,grammar,beginner_1,"ELA ESTÁ - SHE is in this STATE (temporary)","Third person feminine singular. Same form as você/ele está.","'Ela está bem' can be a reassurance that someone is okay.","Her temporary location or state",Ela está doente.,She is sick.,Ela está feliz.,She is happy.,woman_location,"ele está;eu estou;ela é",6
009_07,nós estamos,we are,nohsh sh-TAH-moosh,grammar,beginner_2,"NÓS ESTAMOS - 'WE stay' together in this STATE","First person plural. The -mos ending marks 'we' in all verbs.","Portuguese families often say 'estamos bem' to describe the whole family's wellbeing.","Our temporary state or location",Nós estamos em Lisboa.,We are in Lisbon.,Nós estamos prontos.,We are ready.,group_location,"eles estão;vocês estão;nós somos",7
009_08,eles estão,they are,EL-ush sh-TOWNG,grammar,beginner_2,"ELES ESTÃO - the nasal ÃO ending for THEY","Third person plural. The 'ão' is a nasal sound unique to Portuguese.","'Estão' rhymes with words like 'pão' (bread) - practice the nasal!","Their temporary state - nasal 'ão'",Eles estão contentes.,They are happy.,Eles estão em Portugal.,They are in Portugal.,group_feeling,"nós estamos;vocês estão;eles são",8
009_09,onde está,where is,OHN-duh sh-TAH,phrase,beginner_1,"ONDE ESTÁ = WHERE is it STAYING - for locations!","Question word + estar. Always use estar for asking locations.","Essential tourist phrase! 'Onde está a casa de banho?' (Where is the bathroom?)","Asking for location - very useful",Onde está o café?,Where is the café?,Onde está a estação?,Where is the station?,question_location,"onde é;como está;o que é",9
009_10,como está,how are you,KOH-moo sh-TAH,phrase,beginner_1,"COMO ESTÁ = HOW are you STAYING (in what state?)","Formal greeting. Uses estar because wellbeing is temporary.","Always reply 'Bem obrigado/a e você?' - shows good manners!","Common greeting asking about wellbeing",Como está? Tudo bem?,How are you? All well?,Como está a família?,How is the family?,greeting,"como é;onde está;o que faz",10
