word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example_pt,example_en,image,distractors,exercise_order
024_01,queria,I would like,keh-REE-ah,phrase,intermediate_1,"QUERIA = 'Query' + 'A' - I'm querying/asking politely",Conditional of 'querer' (to want) - very polite form,Much more polite than 'quero' (I want). Portuguese value politeness highly!,Always use 'queria' instead of 'quero' when ordering,Queria um café por favor.,I would like a coffee please.,polite_request,"quero;posso;gostava",1
024_02,posso ter,can I have,POH-soo tehr,phrase,intermediate_1,"POSSO = 'POSSIBLE' - can I possibly have?",Literally 'can I have' - polite request form,Alternative to 'queria' - both are very polite,Another polite way to request - interchangeable with queria,Posso ter a conta?,Can I have the bill?,question,"queria;gostava;dá-me",2
024_03,para mim,for me,PAH-rah meem,phrase,beginner_3,"PARA MIM = 'PAH-rah MEEM' - parrot says 'for ME!'",Preposition + stressed pronoun - used after prepositions,Point to yourself slightly when saying 'para mim' - natural gesture,Mim (not me/eu) after prepositions - important grammar!,Um café para mim.,A coffee for me.,pointing_self,"para ti;para si;para nós",3
024_04,a ementa,the menu,ah eh-MEN-tah,noun,beginner_2,"EMENTA = 'A MENU' with letters rearranged!",Feminine noun - European Portuguese (Brazil uses 'cardápio'),In Portugal always 'ementa' - saying 'cardápio' marks you as Brazilian,European PT uses 'ementa' - Brazil uses 'cardápio',A ementa por favor.,The menu please.,menu,"o cardápio;a carta;a lista",4
024_05,o prato do dia,dish of the day,oo PRAH-too doo DEE-ah,phrase,beginner_2,"PRATO sounds like 'PLATE' - the plate of the day!",Masculine - 'o prato'. Often great value at restaurants!,Usually the best value - fresh ingredients bought that day,Usually good value at restaurants and uses fresh ingredients,Qual é o prato do dia?,What is the dish of the day?,special,"a sobremesa;o menu;a ementa",5
024_06,a conta,the bill,ah KOHN-tah,noun,beginner_1,"CONTA = 'COUNT' - count up what you owe!",Feminine noun. Ask for it when ready to pay,In Portugal servers won't bring the bill until asked - not rude just different!,In Portugal you must ask for the bill - they won't rush you,A conta por favor.,The bill please.,bill,"o recibo;o pagamento;o troco",6
024_07,mais alguma coisa,anything else,miesh ahl-GOO-mah KOY-zah,phrase,intermediate_1,"MAIS ALGUMA COISA = 'My-sh AL-GOOMA COYZA' - more of something?",Waiter's question - 'anything more?',Servers ask this before bringing the bill - standard service,Waiter will often ask this before getting the bill,Mais alguma coisa?,Anything else?,question,"é tudo;obrigado;nada mais",7
024_08,é tudo,that's all,eh TOO-doo,phrase,beginner_2,"É TUDO = 'A TOO-DOO' - that's the whole to-do list!",Response when you're done ordering,Polite way to indicate you've finished ordering,Say this when you've finished ordering - simple and clear,É tudo obrigado.,That's all thanks.,check,"mais alguma coisa;e também;por favor",8
024_09,está incluído,is it included,sh-TAH een-kloo-EE-doo,phrase,intermediate_2,"INCLUÍDO sounds like 'INCLUDED' - very similar!",Question form. Often about service charge or specific items,Tips not expected in Portugal but service charge sometimes added,Ask about service charge or items like bread (couvert),O serviço está incluído?,Is service included?,question,"está separado;é extra;não está",9
024_10,uma bica,an espresso,OO-mah BEE-kah,noun,intermediate_1,"BICA = 'BEEKA' - the coffee BEAMS into your cup!",Lisbon slang for espresso. Feminine noun,Lisbon says 'bica' Porto says 'cimbalino' - regional difference!,Lisbon slang for espresso (Porto says 'cimbalino'),Uma bica se faz favor.,An espresso please.,espresso,"um café;um cimbalino;um expresso",10
024_11,um galão,a latte,oom gah-LOWN,noun,intermediate_1,"GALÃO = 'GALLON' - a big gallon of milky coffee!",Masculine noun. Large milky coffee served in a tall glass,Much bigger than American latte - served in a tall glass,Large milky coffee in a glass - bigger than typical latte,Um galão por favor.,A latte please.,latte,"uma meia de leite;um café;uma bica",11
024_12,uma meia de leite,half milk coffee,OO-mah MAY-ah duh LAYT,noun,intermediate_1,"MEIA DE LEITE = 'HALF of MILK' - half and half!",Feminine. Smaller milky coffee in a cup (not glass),Like a cappuccino but Portuguese style - half espresso half milk,Smaller milky coffee in a cup - like a small latte,Uma meia de leite.,A half-milk coffee.,cappuccino,"um galão;um café com leite;uma bica",12
