word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
023_01,a comida,the food,ah koo-MEE-dah,vocabulary,beginner_1,"COMIDA = co-MEE-da - come to MEET the food!","Feminine noun. From 'comer' (to eat).","Portuguese 'comida' is heart of culture - meals are social events!","General word for food",A comida é boa.,The food is good.,A comida portuguesa é deliciosa.,Portuguese food is delicious.,food,"a bebida;o prato;a refeição",1
023_02,a bebida,the drink,ah beh-BEE-dah,vocabulary,beginner_1,"BEBIDA = beh-BEE-da - from BEBER (to drink)!","Feminine noun. From 'beber' (to drink).","'Bebidas' at Portuguese meals: wine for adults 'sumo' (juice) for kids!","General word for drinks",Uma bebida fresca.,A cold drink.,Que bebida quer?,What drink do you want?,drink,"a comida;a água;o copo",2
023_03,o café,the coffee,oo kah-FEH,vocabulary,beginner_1,"CAFÉ = ka-FEH - just like English 'café'!","Masculine noun. Also means 'café' (the place).","Portuguese coffee culture: 'bica' in Lisbon 'cimbalino' in Porto!","Also means 'café' (the place)",Um café por favor.,A coffee please.,Vou ao café.,I'm going to the café.,coffee,"o chá;o leite;a água",3
023_04,o chá,tea,oo shah,vocabulary,beginner_1,"CHÁ sounds like 'shah' - drink tea like a SHAH!","Masculine noun. Short word.","Portugal introduced tea to England - Catherine of Braganza!","Short word - sounds like 'shah'",Um chá com limão.,A tea with lemon.,Chá de camomila.,Chamomile tea.,tea,"o café;a água;o leite",4
023_05,a água,the water,ah AH-gwah,vocabulary,beginner_1,"ÁGUA = AH-gwa - like AQUA water!","Feminine despite ending in 'a' (silent rule).","'Com gás ou sem gás?' (with gas or without?) - sparkling or still!","Feminine despite ending in 'a'",Uma água com gás.,A sparkling water.,Água fresca.,Fresh water.,water,"o leite;o sumo;a bebida",5
023_06,o leite,the milk,oo LAYT,vocabulary,beginner_1,"LEITE = LAY-tee - like 'latte' milk!","Masculine noun.","'Galao' is Portuguese latte - mostly milk with espresso!","Like 'late' but with 'ee' sound",Café com leite.,Coffee with milk.,Leite quente.,Hot milk.,milk,"a água;o café;o chá",6
023_07,o pão,the bread,oo powng,vocabulary,beginner_1,"PÃO = powng - nasal sound like PONG with no G!","Masculine. Nasal 'ão' sound.","Portuguese bread is amazing - 'pão alentejano' is famous!","Nasal 'ão' - staple food in Portugal",Pão fresco.,Fresh bread.,Pão com manteiga.,Bread with butter.,bread,"o queijo;a carne;o bolo",7
023_08,o queijo,the cheese,oo KAY-zhoo,vocabulary,beginner_1,"QUEIJO = KAY-jo - think QUESO cheese!","Masculine. 'J' sounds like 'zh'.","'Queijo da Serra' is famous Portuguese cheese - try it!","'j' sounds like 'zh'",Queijo da Serra.,Serra cheese (famous PT cheese).,Pão com queijo.,Bread with cheese.,cheese,"o pão;a carne;o presunto",8
023_09,a carne,the meat,ah KARN,vocabulary,beginner_1,"CARNE = KARN - like CARNIVORE meat!","Feminine noun. General word for meat.","Portuguese love meat - 'carne de porco à alentejana' is iconic!","General word for meat",Eu não como carne.,I don't eat meat.,Carne grelhada.,Grilled meat.,meat,"o peixe;a fruta;o frango",9
023_10,o peixe,the fish,oo PAYSH,vocabulary,beginner_1,"PEIXE = PAY-sh - pay for the fish!","Masculine noun. Portugal loves fish!","Portugal has highest fish consumption in Europe - 'bacalhau' is king!","Portugal loves fish!",Peixe grelhado.,Grilled fish.,O peixe é fresco.,The fish is fresh.,fish,"a carne;o marisco;o bacalhau",10
023_11,a fruta,the fruit,ah FROO-tah,vocabulary,beginner_1,"FRUTA = FROO-ta - like FRUIT!","Feminine noun. General word.","Portuguese markets have amazing 'fruta' - 'pera rocha' pears are famous!","General word for fruit",Fruta fresca.,Fresh fruit.,Gosto de fruta.,I like fruit.,fruit,"os legumes;a comida;o doce",11
023_12,o vinho,the wine,oo VEEN-yoo,vocabulary,beginner_1,"VINHO = VEEN-yo - like 'vino' wine!","Masculine. 'Nh' like Spanish 'ñ'.","Portugal is 11th largest wine producer - Port wine vinho verde Douro!","'nh' like Spanish ñ - Portugal is famous for wine",Vinho tinto ou branco?,Red or white wine?,Um copo de vinho.,A glass of wine.,wine,"a cerveja;o café;a água",12
