word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
010_01,ter,to have,tair,grammar,beginner_1,"TER sounds like 'TEAR' - to HAVE something you won't TEAR apart","Essential irregular verb. Used for possession age physical states.","TER replaces 'to be' for age/hunger/thirst - 'tenho 20 anos' not 'sou 20 anos'!","Essential verb - possession age obligations",Ter é importante.,To have is important.,Quero ter um cão.,I want to have a dog.,have,"ser;estar;ir",1
010_02,eu tenho,I have,AY-oo TEN-yoo,grammar,beginner_1,"TENHO - TEN + YO (Spanish influence). I have TEN of them YO!","Irregular first person. The 'nh' sounds like Spanish 'ñ'.","'Tenho' starts many daily expressions: tenho fome sede sono pressa...","Irregular - note the 'nh' sound like Spanish ñ",Eu tenho um carro.,I have a car.,Eu tenho dois irmãos.,I have two siblings.,person_holding,"eu sou;eu estou;eu vou",2
010_03,tu tens,you have (informal),too taynsh,grammar,beginner_2,"TU TENS - informal YOU TENS (have ten things!)","Second person singular informal. Note 's' ending marks 'tu'.","In the North (Porto) 'tu' is very common. Use 'você' in Lisbon until invited.","Informal second person",Tu tens irmãos?,Do you have siblings?,Tu tens tempo?,Do you have time?,friends,"você tem;ele tem;eu tenho",3
010_04,você tem,you have (formal),voh-SAY taym,grammar,beginner_1,"VOCÊ TEM - formal YOU 'TEM' (same as he/she)","Formal 'you'. Same conjugation as ele/ela tem.","In business use 'o senhor tem' for extra formality.","Formal - same form as ele/ela",Você tem filhos?,Do you have children?,Você tem cartão?,Do you have a card?,formal,"tu tens;ele tem;eu tenho",4
010_05,ele tem,he has,EL-uh taym,grammar,beginner_1,"ELE TEM - HE has TEM (ten) things!","Third person masculine singular.","'Ele tem razão' (he's right - literally 'has reason') is very common.","Third person singular",Ele tem trinta anos.,He is thirty years old.,Ele tem uma casa grande.,He has a big house.,man_having,"ela tem;eu tenho;ele é",5
010_06,ela tem,she has,EL-ah taym,grammar,beginner_1,"ELA TEM - SHE has same as HE - TEM!","Third person feminine singular. Same conjugation as ele/você.","'Ela tem bom gosto' (she has good taste) is a nice compliment.","Same conjugation as ele",Ela tem uma casa.,She has a house.,Ela tem três filhos.,She has three children.,woman_having,"ele tem;eu tenho;ela é",6
010_07,nós temos,we have,nohsh TAY-moosh,grammar,beginner_2,"NÓS TEMOS - WE TEAM-OS (we team up and have!)","First person plural. The '-mos' ending marks 'we' forms.","'Temos de ir' (we have to go) uses ter for obligation.","First person plural",Nós temos tempo.,We have time.,Nós temos uma reunião.,We have a meeting.,group_having,"eles têm;vocês têm;nós somos",7
010_08,eles têm,they have,EL-ush taym,grammar,beginner_2,"ELES TÊM - THEY have (the ^ hat makes it plural!)","Third person plural. Circumflex (^) distinguishes from singular 'tem'.","Written with ^ (têm) to distinguish from singular tem - sounds the same!","Note the circumflex accent - same sound as tem",Eles têm fome.,They are hungry (have hunger).,Eles têm sorte.,They are lucky (have luck).,group,"nós temos;vocês têm;eles são",8
010_09,tenho fome,I'm hungry,TEN-yoo FOH-muh,phrase,beginner_1,"TENHO FOME - I HAVE FOAM-E (hunger foams up!)","Literally 'I have hunger'. Portuguese uses ter for physical states.","In restaurants you might hear 'Tem fome?' (Are you hungry?) before ordering.","Literally 'I have hunger' - Portuguese uses ter",Tenho fome. Vamos comer?,I'm hungry. Shall we eat?,Tenho muita fome.,I'm very hungry.,hungry,"estou com fome;sou fome;tenho sede",9
010_10,tenho sede,I'm thirsty,TEN-yoo SEH-duh,phrase,beginner_1,"TENHO SEDE - I HAVE 'SAID-E' (I said I need a drink!)","Literally 'I have thirst'. Uses ter not estar.","'Morro de sede!' (I'm dying of thirst!) is dramatic but common.","Literally 'I have thirst'",Tenho sede. Uma água por favor.,I'm thirsty. A water please.,Tenho muita sede.,I'm very thirsty.,thirsty,"estou com sede;sou sede;tenho fome",10
010_11,tenho sono,I'm sleepy,TEN-yoo SOH-noo,phrase,beginner_1,"TENHO SONO - I HAVE SO-NO sleep (so no energy!)","Literally 'I have sleep'. Another ter + noun expression.","Portuguese has many ter expressions: ter medo (be scared) ter razão (be right).","Literally 'I have sleep'",Tenho sono. Vou dormir.,I'm sleepy. I'm going to sleep.,Tenho muito sono hoje.,I'm very sleepy today.,sleepy,"estou com sono;sou sono;tenho fome",11
010_12,tenho ... anos,I am ... years old,TEN-yoo ... AH-noosh,phrase,beginner_1,"TENHO ANOS - I HAVE years (collecting birthdays!)","Portuguese expresses age with ter not ser. 'Tenho X anos' = I am X years old.","When asked 'Quantos anos tem?' reply 'Tenho [number] anos'.","Age uses ter not ser - 'I have X years'",Tenho vinte anos.,I am twenty years old.,Tenho trinta e cinco anos.,I am thirty-five years old.,birthday,"sou ... anos;estou ... anos;faço ... anos",12
