word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
022_01,a cor,the color,ah kor,vocabulary,beginner_1,"COR sounds like CORE - the CORE color!","Feminine noun. Plural: as cores.","'Qual é a sua cor favorita?' is a common conversation starter!","Feminine noun - plural 'as cores'",Qual é a sua cor favorita?,What is your favorite color?,Gosto desta cor.,I like this color.,color_palette,"as cores;a forma;o tom",1
022_02,vermelho,red,vehr-MEL-yoo,vocabulary,beginner_1,"VERMELHO = ver-MEL-yo - think VERmillion red!","Masculine. Feminine: vermelha. 'Lh' like 'ly'.","Red is associated with Benfica football club - passionate fans!","'lh' sounds like 'ly' - masculine",O carro é vermelho.,The car is red.,Uma camisa vermelha.,A red shirt.,red,"azul;verde;amarelo",2
022_03,azul,blue,ah-ZOOL,vocabulary,beginner_1,"AZUL sounds like 'a-ZOOL' - think AZURE blue!","Same form for masculine and feminine.","Blue tiles ('azulejos') are Portugal's signature decorative art!","Same for masculine and feminine",O céu é azul.,The sky is blue.,Uma casa azul.,A blue house.,blue,"vermelho;verde;branco",3
022_04,verde,green,VEHR-duh,vocabulary,beginner_1,"VERDE sounds like 'VERD-uh' - like 'verdant' green!","Same for masculine and feminine.","'Vinho verde' (green wine) is young Portuguese white wine!","Same for masculine and feminine",A relva é verde.,The grass is green.,Uma luz verde.,A green light.,green,"vermelho;azul;amarelo",4
022_05,amarelo,yellow,ah-mah-REL-oo,vocabulary,beginner_1,"AMARELO = 'a-ma-REL-lo' - like marigold yellow!","Masculine. Feminine: amarela.","Yellow trams in Lisbon are iconic - elétrico 28!","Masculine - amarela for feminine",O sol é amarelo.,The sun is yellow.,Uma banana amarela.,A yellow banana.,yellow,"vermelho;laranja;verde",5
022_06,branco,white,BRAHN-koo,vocabulary,beginner_1,"BRANCO = BRAHN-ko - think 'BLANC' (French for white)!","Masculine. Feminine: branca.","'Vinho branco' (white wine) is perfect with seafood in Portugal!","Masculine - branca for feminine",A neve é branca.,The snow is white.,Uma parede branca.,A white wall.,white,"preto;cinzento;azul",6
022_07,preto,black,PRAY-too,vocabulary,beginner_1,"PRETO = PRAY-too - think PRETty black cat!","Masculine. Feminine: preta.","'Café preto' (black coffee) - the Portuguese way to drink it!","Masculine - preta for feminine",O café é preto.,The coffee is black.,Uma mala preta.,A black bag.,black,"branco;cinzento;castanho",7
022_08,laranja,orange,lah-RAHN-zhah,vocabulary,beginner_1,"LARANJA = la-RAN-ja - same as the fruit ORANGE!","Same for masculine/feminine. Also means the fruit!","Portugal's Algarve region is famous for oranges - 'laranjas do Algarve'!","Same for masc/fem - also the fruit!",A laranja é laranja.,The orange is orange.,Uma camisa laranja.,An orange shirt.,orange,"amarelo;vermelho;rosa",8
022_09,rosa,pink,HOH-zah,vocabulary,beginner_1,"ROSA sounds like ROSE - pink like a ROSE!","Same for masculine/feminine. Also means 'rose' flower.","Pink is popular in Portuguese fashion and interior design.","'r' at start sounds like 'h'",A flor é rosa.,The flower is pink.,Uma blusa rosa.,A pink blouse.,pink,"vermelho;laranja;roxo",9
022_10,castanho,brown,kahsh-TAH-nyoo,vocabulary,beginner_2,"CASTANHO = casta-NYO - like CHESTNUT brown!","European Portuguese. Brazil uses 'marrom'. Feminine: castanha.","'Olhos castanhos' (brown eyes) - most common eye color in Portugal.","European PT (Brazil uses 'marrom')",O cão é castanho.,The dog is brown.,Cabelo castanho.,Brown hair.,brown,"preto;laranja;vermelho",10
022_11,cinzento,gray,seen-ZEN-too,vocabulary,beginner_2,"CINZENTO = sin-ZEN-to - like CINDERS gray!","European Portuguese. Brazil uses 'cinza'. Feminine: cinzenta.","Rainy Lisbon days are 'cinzentos' but the city is still charming!","European PT (Brazil uses 'cinza')",O gato é cinzento.,The cat is gray.,Um dia cinzento.,A gray day.,gray,"branco;preto;azul",11
022_12,roxo,purple,HOH-shoo,vocabulary,beginner_2,"ROXO = HO-sho - think 'HO' for royalty purple!","'X' sounds like 'sh'. Feminine: roxa.","Purple was historically royal - Porto's wine has a deep 'roxo' color!","'x' sounds like 'sh'",A uva é roxa.,The grape is purple.,Uma flor roxa.,A purple flower.,purple,"azul;rosa;vermelho",12
