word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
030_01,o país,the country,oo pah-EESH,vocabulary,beginner_1,"PAÍS = pa-ÍS - a PEACE-ful land is a country!","Masculine. Accent on 'í' makes two syllables.","Portugal has strong national identity - 'orgulho no país' (country pride)!","Accent on 'í' - masculine noun",Portugal é um país bonito.,Portugal is a beautiful country.,De que país és?,What country are you from?,country,"a cidade;o continente;a região",1
030_02,Portugal,Portugal,poor-too-GAHL,vocabulary,beginner_1,"PORTUGAL = por-tu-GAL - PORT of GAUL explorers!","Proper noun. No article.","Portugal was world's first global empire - 15th century discoveries!","Stress on last syllable",Moro em Portugal.,I live in Portugal.,Portugal é bonito.,Portugal is beautiful.,portugal_flag,"Espanha;França;Brasil",2
030_03,português,Portuguese (m),poor-too-GAYSH,vocabulary,beginner_1,"PORTUGUÊS = por-tu-GESH - the language of PORT-wine land!","Masculine. Language/nationality. Adjective after noun.","Portuguese is 6th most spoken language - 250+ million speakers worldwide!","Language or nationality (male)",Falo português.,I speak Portuguese.,Ele é português.,He is Portuguese.,portuguese,"inglês;espanhol;francês",3
030_04,portuguesa,Portuguese (f),poor-too-GAY-zah,vocabulary,beginner_1,"PORTUGUESA = por-tu-GE-za - female form adds 'a'!","Feminine of português.","Famous 'portuguesas': Amália Rodrigues (fado) Maria de Lourdes Pintasilgo (PM)!","Nationality (female)",Ela é portuguesa.,She is Portuguese.,A comida portuguesa.,Portuguese food.,portuguese_f,"inglesa;espanhola;francesa",4
030_05,a Inglaterra,England,ah een-glah-TEH-rah,vocabulary,beginner_1,"INGLATERRA = in-gla-TE-ra - land of ANGLES (English)!","Feminine. Takes article 'a'.","Portugal and England have oldest alliance in world - since 1373!","Note the article 'a'",A Inglaterra é um país.,England is a country.,Vou à Inglaterra.,I'm going to England.,england,"Portugal;a Espanha;a França",5
030_06,inglês,English (m),een-GLAYSH,vocabulary,beginner_1,"INGLÊS = in-GLESH - the ENGLISH language!","Masculine. Language or male nationality.","Many Portuguese learn English - tourism and business important!","Language or nationality (male)",Falo inglês.,I speak English.,Ele é inglês.,He is English.,english,"português;espanhol;alemão",6
030_07,inglesa,English (f),een-GLAY-zah,vocabulary,beginner_1,"INGLESA = in-GLE-za - English woman!","Feminine of inglês.","'Inglesa' also refers to English style - 'bifana à inglesa'!","Nationality (female)",Ela é inglesa.,She is English.,A rainha inglesa.,The English queen.,english_f,"portuguesa;espanhola;francesa",7
030_08,a Espanha,Spain,ah eh-SPAH-nyah,vocabulary,beginner_1,"ESPANHA = es-PA-nya - España (Spanish spelling similar)!","Feminine. Takes article 'a'. 'NH' like Spanish 'ñ'.","Spain is Portugal's only neighbor - complex historical relationship!","'nh' like Spanish ñ",A Espanha é vizinha.,Spain is a neighbor.,Vou à Espanha.,I'm going to Spain.,spain,"Portugal;a França;a Itália",8
030_09,espanhol,Spanish (m),eh-spah-NYOL,vocabulary,beginner_1,"ESPANHOL = es-pa-NYOL - español in Spanish!","Masculine. Language or male nationality.","Many Portuguese understand Spanish but don't speak it - similar but different!","Language or nationality (male)",Falo espanhol.,I speak Spanish.,Ele é espanhol.,He is Spanish.,spanish,"português;francês;italiano",9
030_10,a França,France,ah FRAHN-sah,vocabulary,beginner_1,"FRANÇA = FRAN-sa - France with 'ç' for 's' sound!","Feminine. 'Ç' sounds like 's'.","France and Portugal have long cultural ties - many Portuguese work in France!","'ç' sounds like 's'",A França é bonita.,France is beautiful.,Vou à França.,I'm going to France.,france,"a Espanha;a Alemanha;a Itália",10
030_11,francês,French (m),frahn-SAYSH,vocabulary,beginner_1,"FRANCÊS = fran-SESH - FRENCH language!","Masculine. Language or male nationality.","French was once language of Portuguese aristocracy - cultural influence!","Language or nationality (male)",Falo francês.,I speak French.,Ele é francês.,He is French.,french,"inglês;português;alemão",11
030_12,a Alemanha,Germany,ah ah-leh-MAH-nyah,vocabulary,beginner_1,"ALEMANHA = a-le-MA-nya - land of the ALLEMANDS!","Feminine. 'NH' like Spanish 'ñ'.","Germany is major trade partner - many Portuguese work in Deutschland!","'nh' like Spanish ñ",A Alemanha é grande.,Germany is big.,Vou à Alemanha.,I'm going to Germany.,germany,"a França;a Espanha;a Áustria",12
030_13,alemão,German (m),ah-leh-MOWNG,vocabulary,beginner_1,"ALEMÃO = a-le-MOWNG - nasal ending for German!","Masculine. Nasal 'ão' ending.","German tourists love Algarve - 'alemães' common in southern Portugal!","Nasal 'ão' ending",Falo alemão.,I speak German.,Ele é alemão.,He is German.,german,"francês;inglês;português",13
