word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
001_01,Olá,Hello,oh-LAH,greeting,beginner_1,"OH LA! - Like you're impressed by something",Universal greeting - works any time of day,The most versatile greeting - safe in any situation,Start conversations with Olá + time greeting,Olá! Como está?,Hello! How are you?,Olá a todos!,Hello everyone!,wave,"Obrigado;Adeus;Bom",1
001_02,Bom dia,Good morning,bohm DEE-ah,greeting,beginner_1,"BOM = Good sounds like BOMB (but good!). DIA = Day like DEER",Used until around noon - literally 'good day',In Portugal morning greetings are important - skip it and seem rude!,Use until lunch time (around 12-13h),Bom dia! Dormiu bem?,Good morning! Did you sleep well?,Bom dia senhor.,Good morning sir.,sunrise,"Boa noite;Boa tarde;Bom trabalho",2
001_03,Boa tarde,Good afternoon,BOH-ah TAHRD,greeting,beginner_1,"BOA = female Good. TARDE sounds like TARDY (late in the day)",Used from noon until evening (around 6-7pm),Switching to 'boa tarde' shows you know the time - Portuguese appreciate this precision,Use from lunch until sunset,Boa tarde! Tudo bem?,Good afternoon! All good?,Boa tarde a todos.,Good afternoon everyone.,afternoon,"Bom dia;Boa noite;Boa viagem",3
001_04,Boa noite,Good evening/night,BOH-ah NOYT,greeting,beginner_1,"NOITE sounds like NIGHT - easy! BOA for feminine greeting",Used after dark - works as both greeting AND goodbye,Unique: Portuguese say boa noite when arriving AND leaving at night,Can say when arriving AND leaving at night,Boa noite! Como correu o dia?,Good evening! How was your day?,Boa noite e bons sonhos.,Good night and sweet dreams.,moon,"Bom dia;Boa tarde;Boa sorte",4
001_05,Adeus,Goodbye (formal),ah-DAY-oosh,greeting,beginner_2,"A DEUS = To God - like saying 'God be with you'",More formal/final goodbye - implies longer separation,Has a sense of finality - Portuguese use 'até' phrases for casual goodbyes instead,Use for longer goodbyes - tchau for casual,Adeus! Foi um prazer.,Goodbye! It was a pleasure.,Adeus e boa viagem.,Goodbye and safe travels.,farewell,"Olá;Tchau;Até logo",5
001_06,Tchau,Bye (informal),CHOW,greeting,beginner_1,"CHOW - exactly like Italian ciao! (borrowed word)",Casual goodbye - borrowed from Italian 'ciao',Super common in casual speech - like English 'bye'. Say it twice (tchau tchau) for extra friendly!,Use with friends and in casual situations,Tchau! Até logo!,Bye! See you later!,Tchau tchau!,Bye bye!,wave_casual,"Adeus;Olá;Obrigado",6
001_07,Até logo,See you later,ah-TEH LOH-goo,greeting,beginner_2,"ATÉ = Until. LOGO = Soon. Until soon!",Literally 'until soon' - very common,Implies you'll see the person again relatively soon - within days,Most common way to say 'see you later',Até logo! Bom trabalho.,See you later! Good work.,Até logo pessoal.,See you later everyone.,clock,"Até amanhã;Até já;Adeus",7
001_08,Até amanhã,See you tomorrow,ah-TEH ah-mah-NYAHN,greeting,beginner_2,"ATÉ AMANHÃ - AMANHÃ sounds like 'a-man-YA' (imagine saying ya to a man tomorrow)",Literally 'until tomorrow',Use when you KNOW you'll see them the next day,Specific - use when you WILL see them tomorrow,Até amanhã! Descansa bem.,See you tomorrow! Rest well.,Até amanhã na escola.,See you tomorrow at school.,calendar,"Até logo;Até já;Até depois",8
001_09,Até já,See you soon,ah-TEH ZHAH,greeting,beginner_2,"ATÉ JÁ - JÁ means 'already/now' - see you very soon!",Very soon - within minutes or hours,Use when stepping away briefly - like going to bathroom or getting coffee,Implies very short time - stepping out briefly,Até já! Vou buscar café.,See you soon! I'm getting coffee.,Até já!,See you in a bit!,soon,"Até logo;Até amanhã;Tchau",9
001_10,Como está?,How are you? (formal),KOH-moo sh-TAH,greeting,beginner_2,"COMO = How (like Spanish). ESTÁ = Are (estar verb)",Formal 'você' form - use with strangers or elders,Shows respect - always safe choice when unsure. Add 'o senhor/a senhora' for extra formality,Use você form with new people or formal situations,Olá! Como está?,Hello! How are you?,Como está a sua família?,How is your family?,question,"Como estás?;Tudo bem?;O que faz?",10
001_11,Como estás?,How are you? (informal),KOH-moo sh-TAHSH,greeting,beginner_3,"ESTÁS has an S at the end = informal TU form. Think: S = friends (S-pecial people)",Informal 'tu' form - the final 's' makes it informal,Use with friends family and people your age or younger,The final 's' indicates informal tu conjugation,Olá! Como estás?,Hello! How are you?,Como estás hoje?,How are you today?,friends,"Como está?;Tudo bem?;Estás bem?",11
001_12,Tudo bem?,All good?,TOO-doo baym,greeting,beginner_1,"TUDO BEM = ALL GOOD. Like English 'all good?' Very versatile!",Very casual - literally 'all good?',Common casual greeting - can be question or response. Answer the same: 'Tudo bem!'",Can answer with 'Tudo bem!' or 'Tudo ótimo!',Tudo bem contigo?,All good with you?,Tudo bem?,Everything okay?,thumbs_up,"Como está?;Olá;Obrigado",12
001_13,Prazer,Pleasure/Nice to meet you,prah-ZEHR,greeting,beginner_2,"PRAZER = Pleasure - like 'pleased to meet you'",Short for 'prazer em conhecê-lo/la',Used when meeting someone for the first time - often with handshake,Can say just 'Prazer' or full 'Prazer em conhecer',Prazer em conhecê-lo!,Nice to meet you!,Muito prazer!,Very nice to meet you!,handshake,"Obrigado;Olá;Tchau",13
