word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
015_01,meu,my (masc),MAY-oo,grammar,beginner_1,"MEU sounds like 'MAY you' - MAY YOU see MY stuff!","Masculine singular. Agrees with noun not owner. 'Meus' is plural.","'Meu Deus!' (My God!) is a common exclamation in Portugal.","Used with masculine nouns",O meu carro.,My car.,O meu amigo.,My friend.,mine,"minha;teu;seu",1
015_02,minha,my (fem),MEEN-yah,grammar,beginner_1,"MINHA = MEEN-ya - it's MINE-ya (feminine)!","Feminine singular. The 'nh' sounds like Spanish 'ñ'. 'Minhas' is plural.","'Minha Nossa Senhora!' is a religious exclamation still used today.","Used with feminine nouns - 'nh' like Spanish ñ",A minha casa.,My house.,A minha mãe.,My mother.,mine,"meu;tua;sua",2
015_03,teu,your (masc informal),tay-oo,grammar,beginner_2,"TEU = TAY-oo - TAY who? YOUR informal friend!","Informal 'your' (tu form). Masculine singular. 'Teus' is plural.","Northern Portugal uses 'teu' much more than Lisbon!","Informal - with tu",O teu livro.,Your book.,O teu irmão.,Your brother.,yours_informal,"tua;meu;seu",3
015_04,tua,your (fem informal),TOO-ah,grammar,beginner_2,"TUA = TOO-ah - YOUR (feminine) TOO-ah!","Informal 'your' feminine. 'Tuas' is plural form.","'A tua mãe' in jokes - same as English 'your mom' jokes exist!","Informal feminine",A tua mãe.,Your mother.,A tua namorada.,Your girlfriend.,yours_informal,"teu;minha;sua",4
015_05,seu,your (masc formal),SAY-oo,grammar,beginner_1,"SEU = SAY-oo - SAY 'YOUR' formally!","Formal 'your' OR 'his/her'. Context clarifies. Use dele/dela for clarity.","In Brazil 'seu' is very common. In Portugal use 'o/a senhor/a' for extra formality.","Formal or his/her - context determines meaning",O seu nome.,Your name (formal).,O seu passaporte.,Your passport.,yours_formal,"sua;teu;meu",5
015_06,sua,your (fem formal),SOO-ah,grammar,beginner_1,"SUA = SOO-ah - SUA formal feminine!","Formal feminine 'your' OR 'his/her'. 'Suas' is plural.","'A sua saúde!' (To your health!) - common Portuguese toast!","Formal feminine or his/her",A sua casa.,Your house (formal).,A sua família.,Your family.,yours_formal,"seu;tua;minha",6
015_07,nosso,our (masc),NOH-soo,grammar,beginner_2,"NOSSO = NO-SO - it's NOT SO yours it's OURS!","First person plural masculine. 'Nossos' for plural nouns.","'O nosso Benfica' - Portuguese are passionate about their football clubs!","First person plural masculine",O nosso país.,Our country.,O nosso carro.,Our car.,ours,"nossa;meu;seu",7
015_08,nossa,our (fem),NOH-sah,grammar,beginner_2,"NOSSA = NO-sa - OURS (feminine)!","First person plural feminine. 'Nossas' for plural.","'Nossa Senhora!' is a common exclamation - literally 'Our Lady'.","First person plural feminine",A nossa família.,Our family.,A nossa casa.,Our house.,ours,"nosso;minha;sua",8
015_09,dele,his,DEL-uh,grammar,beginner_2,"DELE = DE + ELE = of him = HIS!","Clarifies 'seu' ambiguity. Literally 'of him'. Goes AFTER noun.","In European Portuguese 'dele' is clearer than 'seu' for 'his'.","Clarifies when 'seu' is ambiguous",O carro dele.,His car.,A casa dele.,His house.,his,"dela;seu;meu",9
015_10,dela,her,DEL-ah,grammar,beginner_2,"DELA = DE + ELA = of her = HERS!","Clarifies 'sua' ambiguity. Literally 'of her'. Goes AFTER noun.","'O marido dela' (her husband) - used when 'seu' would be confusing.","Clarifies when 'sua' is ambiguous",A casa dela.,Her house.,O carro dela.,Her car.,hers,"dele;sua;minha",10
015_11,deles,their (masc),DEL-ush,grammar,beginner_2,"DELES = DE + ELES = of them (masc) = THEIR!","Masculine plural or mixed group. Goes after noun.","'Os amigos deles' - Portuguese culture values friendship groups highly.","Masculine plural",O carro deles.,Their car.,A casa deles.,Their house.,theirs,"delas;nosso;seu",11
015_12,delas,their (fem),DEL-ahsh,grammar,beginner_2,"DELAS = DE + ELAS = of them (fem) = THEIR (ladies)!","Feminine plural - only for all-female groups.","'As amigas delas' - female friend groups are tight-knit in Portugal!","Feminine plural - all female group",A casa delas.,Their house.,O carro delas.,Their car.,theirs,"deles;nossa;sua",12
