word_id,portuguese,english,pronunciation,type,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image
003_01,eu,I,AY-oo,pronoun,Subject pronoun - often omitted when verb conjugation makes subject clear,Portuguese drops pronouns because verb endings already indicate the subject,Practice saying 'Eu sou...' (I am...) to introduce yourself,Eu falo português.,I speak Portuguese.,Eu sou de Lisboa.,I am from Lisbon.,person_self
003_02,tu,you (informal),too,pronoun,Informal 'you' for friends/family - uses 2nd person verb conjugation,In Portugal 'tu' is common casually - some regions prefer 'você' even informally,Use 'tu' only when you're sure the relationship is informal,Tu falas inglês?,Do you speak English?,Tu és muito simpático.,You are very nice.,friends
003_03,você,you (formal),voh-SAY,pronoun,Formal 'you' that uses 3rd person verb conjugation (same as ele/ela),More common in Brazil - in Portugal used for respect or professional settings,When unsure use 'você' - it's safer in professional or new situations,Você fala português?,Do you speak Portuguese?,Você é de onde?,Where are you from?,handshake
003_04,ele,he,EL-eh,pronoun,Masculine 3rd person singular - used for male people and masculine nouns,Portuguese nouns have gender so even objects can be 'ele' if masculine,Remember: ele = he / ela = she - the ending -e vs -a often indicates gender,Ele é meu amigo.,He is my friend.,Ele mora em Lisboa.,He lives in Lisbon.,man
003_05,ela,she,EL-ah,pronoun,Feminine 3rd person singular - used for female people and feminine nouns,Many Portuguese words ending in -a are feminine,Notice how ela ends in -a matching feminine noun patterns,Ela é minha irmã.,She is my sister.,Ela trabalha no hospital.,She works at the hospital.,woman
003_06,nós,we,nohsh,pronoun,1st person plural - accent (ó) indicates stress - informal: 'a gente',In casual speech 'a gente' is very common as alternative to 'nós',Informal: 'A gente fala português' = 'Nós falamos português',Nós falamos português.,We speak Portuguese.,Nós vamos ao Porto.,We are going to Porto.,group
003_07,eles,they (masc/mixed),EL-ush,pronoun,Used for all-male groups OR mixed groups (even 1 male = eles),Portuguese follows the rule that masculine form is used for mixed groups,Mixed group = masculine plural - standard Portuguese grammar,Eles são estudantes.,They are students.,Eles vivem no Brasil.,They live in Brazil.,men_group
003_08,elas,they (feminine),EL-ahsh,pronoun,Used ONLY for all-female groups - one male switches to 'eles',Use only when the entire group is female,Remember: elas = all female / eles = any males present or mixed,Elas são professoras.,They are teachers.,Elas trabalham juntas.,They work together.,women_group
003_09,vocês,you (plural),voh-SAYSH,pronoun,Plural 'you' - addressing multiple people - uses 3rd person plural verbs,Used for any group you're addressing directly,Use when talking to more than one person,Vocês são estudantes?,Are you all students?,Vocês vêm connosco?,Are you coming with us?,audience
003_10,a gente,we (informal),ah ZHENT,pronoun,Very common informal 'we' - takes 3rd person SINGULAR verb,Extremely common in everyday speech - more casual than 'nós',A gente + 3rd person singular verb (like ele/ela),A gente vai ao café.,We're going to the café.,A gente fala depois.,We'll talk later.,casual_group
