word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
016_01,segunda-feira,Monday,seh-GOON-dah FAY-rah,vocabulary,beginner_1,"SEGUNDA = SECOND day of the work week!","Feminine noun. Can drop '-feira' informally: 'na segunda'.","Portuguese weekdays come from numbered 'feiras' (fairs/markets) - unique in Romance languages!","Literally 'second fair' - from market days",Segunda-feira trabalho.,Monday I work.,Na segunda vou ao ginásio.,On Monday I go to the gym.,monday,"terça-feira;domingo;sábado",1
016_02,terça-feira,Tuesday,TAIR-sah FAY-rah,vocabulary,beginner_1,"TERÇA = THIRD day of work week!","Feminine. Informally just 'terça'.","Terça-feira de Carnaval (Mardi Gras/Shrove Tuesday) is big in Portugal!","Literally 'third fair'",Terça-feira tenho aulas.,Tuesday I have classes.,Vemo-nos na terça.,See you on Tuesday.,tuesday,"segunda-feira;quarta-feira;domingo",2
016_03,quarta-feira,Wednesday,KWAR-tah FAY-rah,vocabulary,beginner_1,"QUARTA = QUARTER/FOURTH of the week!","Feminine. Informally 'quarta'. Middle of the week.","'Quarta-feira de cinzas' (Ash Wednesday) marks end of Carnival season.","Literally 'fourth fair'",Quarta-feira é feriado.,Wednesday is a holiday.,Na quarta tenho reunião.,On Wednesday I have a meeting.,wednesday,"terça-feira;quinta-feira;sábado",3
016_04,quinta-feira,Thursday,KEEN-tah FAY-rah,vocabulary,beginner_1,"QUINTA = FIFTH day - almost at the weekend!","Feminine. Informally 'quinta'. Also means 'farm/estate'.","'Quinta' also means country house/vineyard - where Portuguese families gather on weekends!","Literally 'fifth fair'",Quinta-feira vou ao médico.,Thursday I go to the doctor.,Quinta-feira à noite saímos.,Thursday night we go out.,thursday,"quarta-feira;sexta-feira;domingo",4
016_05,sexta-feira,Friday,SAYSH-tah FAY-rah,vocabulary,beginner_1,"SEXTA = SIXTH day - WEEKEND IS HERE!","Feminine. Informally 'sexta'. The S sounds like 'sh' at end.","Friday night in Portugal starts late - dinner at 9pm nightlife after midnight!","Literally 'sixth fair' - almost weekend!",Sexta-feira saímos.,Friday we go out.,Sexta à noite há festa.,Friday night there's a party.,friday,"quinta-feira;sábado;domingo",5
016_06,sábado,Saturday,SAH-bah-doo,vocabulary,beginner_1,"SÁBADO sounds like SABBATH - rest day!","Masculine noun - takes 'o'. From Hebrew 'Shabbat'.","Portuguese traditionally spend sábado with family - lunch can last 3+ hours!","From Sabbath - masculine noun",Sábado descanso.,Saturday I rest.,No sábado vou à praia.,On Saturday I go to the beach.,saturday,"domingo;sexta-feira;semana",6
016_07,domingo,Sunday,doo-MEEN-goo,vocabulary,beginner_1,"DOMINGO = Lord's Day (Dominus = Lord in Latin)","Masculine noun - takes 'o'. Religious origin.","Sunday lunch with family is sacred in Portugal - 'almoço de domingo'!","From Latin 'Lord's day' - masculine noun",Domingo é dia de família.,Sunday is family day.,Ao domingo não trabalho.,On Sunday I don't work.,sunday,"sábado;segunda-feira;semana",7
016_08,a semana,the week,ah seh-MAH-nah,vocabulary,beginner_1,"SEMANA sounds like 'say-MANA' - say the week!","Feminine noun. 'Esta semana' (this week) 'a semana passada' (last week).","Portuguese work week is similar to US/UK - Monday to Friday with Saturday off.","Feminine noun",Esta semana estou ocupado.,This week I'm busy.,A próxima semana.,Next week.,week,"dia;mês;fim de semana",8
016_09,o fim de semana,the weekend,oo feem duh seh-MAH-nah,vocabulary,beginner_1,"FIM DE SEMANA = END OF WEEK = weekend!","Masculine (because of 'fim'). Three words act as one noun.","'Bom fim de semana!' is the standard Friday goodbye in Portuguese offices!","Literally 'end of week'",Bom fim de semana!,Good weekend!,O que vais fazer no fim de semana?,What are you going to do on the weekend?,weekend,"semana;sábado;domingo",9
016_10,hoje,today,OH-zhuh,vocabulary,beginner_1,"HOJE sounds like 'OH-jay' - OH it's TODAY!","The 'j' sounds like 'zh' in 'measure'. Adverb of time.","'Hoje em dia' (nowadays/these days) is very common in conversation.","The 'j' sounds like 'zh' in measure",Hoje é segunda.,Today is Monday.,Hoje estou feliz.,Today I'm happy.,today,"amanhã;ontem;agora",10
016_11,amanhã,tomorrow,ah-mah-NYAH,vocabulary,beginner_1,"AMANHÃ = 'a-man-YA' - say YES to TOMORROW!","Nasal 'nh' like Spanish 'ñ'. Can be noun or adverb.","'Amanhã é outro dia' (tomorrow is another day) - Portuguese optimism!","Nasal sound - 'nh' like Spanish ñ",Até amanhã!,See you tomorrow!,Amanhã vou viajar.,Tomorrow I'm going to travel.,tomorrow,"hoje;ontem;depois",11
016_12,ontem,yesterday,OHN-taym,vocabulary,beginner_1,"ONTEM = ON-tem - think 'ON that TIME yesterday'","Slightly nasal 'on' sound. Past time marker.","'Ontem à noite' (last night) is when Portuguese typically go out!","Slightly nasal 'on'",Ontem foi domingo.,Yesterday was Sunday.,Ontem vi um filme.,Yesterday I watched a film.,yesterday,"hoje;amanhã;antes",12
