word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
012_01,bom,good (masc),bohm,vocabulary,beginner_1,"BOM sounds like BOMB - a GOOD bomb of flavor!","Masculine singular. Irregular: bom/boa not bono/bona.","'Bom dia!' uses masculine because 'dia' (day) is masculine in Portuguese.","Most common positive adjective",O café é bom.,The coffee is good.,Um bom livro.,A good book.,thumbs_up,"boa;mau;má",1
012_02,boa,good (fem),BOH-ah,vocabulary,beginner_1,"BOA sounds like BOW-AH - take a BOW for something good!","Feminine singular of bom. Changes completely not just ending.","'Boa tarde' 'Boa noite' - feminine because tarde/noite are feminine nouns.","Feminine form - used with feminine nouns",A comida é boa.,The food is good.,Uma boa ideia!,A good idea!,thumbs_up,"bom;má;mau",2
012_03,mau,bad (masc),mow,vocabulary,beginner_1,"MAU sounds like MOW - MOWing is BAD (tedious work)!","Masculine singular. Irregular like bom - mau/má.","'Mau tempo' (bad weather) - you'll hear this a lot in winter!","Like English 'mow' the lawn",O tempo está mau.,The weather is bad.,Um mau resultado.,A bad result.,thumbs_down,"má;bom;boa",3
012_04,má,bad (fem),mah,vocabulary,beginner_1,"MÁ is short - just 'mah' - SHORT and BAD!","Feminine singular of mau. Very short word.","'Má impressão' (bad impression) - avoid giving one!","Short sound - feminine form",Uma má ideia.,A bad idea.,Uma má notícia.,Bad news.,thumbs_down,"mau;boa;bom",4
012_05,grande,big/large,GRAHN-duh,vocabulary,beginner_1,"GRANDE sounds like GRAND - GRAND things are BIG!","Same form for masculine and feminine. Position can change meaning.","'Um grande homem' (a great man) vs 'um homem grande' (a big/tall man).","Same for masculine and feminine",Uma casa grande.,A big house.,Um grande problema.,A big problem.,size_large,"pequeno;pequena;alto",5
012_06,pequeno,small (masc),peh-KAY-noo,vocabulary,beginner_1,"PEQUENO = peh-KAY-no - a tiny KAYAK is SMALL!","Masculine - ends in 'o'. Feminine: pequena.","'O pequeno-almoço' (breakfast - literally 'small lunch') is an important meal!","Masculine - ends in 'o'",Um carro pequeno.,A small car.,Um pequeno favor.,A small favor.,size_small,"pequena;grande;baixo",6
012_07,pequena,small (fem),peh-KAY-nah,vocabulary,beginner_1,"PEQUENA ends in A - feminine small!","Feminine form - ends in 'a'.","'Uma pequena pausa' (a small break) - Portuguese love their coffee breaks!","Feminine - ends in 'a'",Uma casa pequena.,A small house.,Uma pequena diferença.,A small difference.,size_small,"pequeno;grande;baixa",7
012_08,novo,new (masc),NOH-voo,vocabulary,beginner_1,"NOVO sounds like NOVA (new star) - something NEW!","Masculine. Also means 'young' when describing people.","'O que há de novo?' (What's new?) - casual greeting among friends.","Also means 'young' for people",Um livro novo.,A new book.,Ele é novo aqui.,He is new here.,new_tag,"nova;velho;velha",8
012_09,nova,new (fem),NOH-vah,vocabulary,beginner_1,"NOVA - like supernova - NEW feminine star!","Feminine form of novo.","'Vida nova' (new life) - Portuguese say this when starting fresh!","Feminine form",Uma casa nova.,A new house.,Uma nova oportunidade.,A new opportunity.,new_tag,"novo;velha;velho",9
012_10,velho,old (masc),VEL-yoo,vocabulary,beginner_1,"VELHO - the LH makes a 'lyuh' sound - OLD things creak!","Masculine. The 'lh' is like Spanish 'll' or Italian 'gl'.","'Bairro Alto' (old neighborhood) in Lisbon is famous for nightlife!","For things and people - 'lh' like Spanish ll",Um carro velho.,An old car.,O meu amigo velho.,My old friend.,old,"velha;novo;nova",10
012_11,velha,old (fem),VEL-yah,vocabulary,beginner_1,"VELHA = VEL-yah - the YAH ending for feminine old!","Feminine form of velho.","'Alfama' is Lisbon's velha (old) neighborhood - beautiful historic area!","Feminine form",Uma casa velha.,An old house.,A história velha.,The old story.,old,"velho;nova;novo",11
012_12,bonito,beautiful (masc),boo-NEE-too,vocabulary,beginner_1,"BONITO sounds like 'bunny-toe' - cute like a bunny's toe!","Masculine. Works for people things and places.","'Que bonito!' is a common exclamation when you see something beautiful.","For things and people",Um dia bonito.,A beautiful day.,Um lugar bonito.,A beautiful place.,beautiful,"bonita;feio;feia",12
012_13,bonita,beautiful (fem),boo-NEE-tah,vocabulary,beginner_1,"BONITA = 'bunny-tah' - a beautiful bunny!","Feminine form. Very common compliment.","'És muito bonita' is a romantic compliment - use with caution!","Very common compliment",Ela é bonita.,She is beautiful.,Uma mulher bonita.,A beautiful woman.,beautiful,"bonito;feia;feio",13
