word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
025_01,a cidade,the city,ah see-DAH-duh,vocabulary,beginner_1,"CIDADE = see-DA-deh - see the CITY!","Feminine noun. Plural: as cidades.","Lisbon and Porto are Portugal's two main 'cidades' - rivalry is friendly!","Feminine noun",Lisboa é uma cidade bonita.,Lisbon is a beautiful city.,Moro numa cidade grande.,I live in a big city.,city,"a vila;o país;a aldeia",1
025_02,a rua,the street,ah HOO-ah,vocabulary,beginner_1,"RUA = HOO-a - the R sounds like H in Portuguese!","Feminine. 'R' at start sounds like 'h'.","Portuguese streets often named after dates: 'Rua 25 de Abril'!","'r' at start sounds like 'h'",A rua principal.,The main street.,Qual é a rua?,Which street is it?,street,"a avenida;a praça;o largo",2
025_03,a casa,the house/home,ah KAH-zah,vocabulary,beginner_1,"CASA = KA-za - your CASA is your home!","Can mean house or home. 'Em casa' = at home.","'Mi casa es su casa' works in Portuguese too - 'A minha casa é a sua casa'!","Can mean house or home",Vou para casa.,I'm going home.,A casa é grande.,The house is big.,house,"o apartamento;o prédio;a moradia",3
025_04,a loja,the shop/store,ah LOH-zhah,vocabulary,beginner_1,"LOJA = LO-ja - think LODGE where you shop!","Feminine. 'J' sounds like 'zh'.","Portuguese 'lojas' often close for lunch - check hours!","'j' sounds like 'zh'",A loja está aberta.,The shop is open.,Vou à loja.,I'm going to the shop.,shop,"o supermercado;o mercado;o centro comercial",4
025_05,o supermercado,the supermarket,oo soo-pehr-mehr-KAH-doo,vocabulary,beginner_1,"SUPERMERCADO = super-mer-KA-do - SUPERMARKET!","Masculine. Compound word: super + mercado.","'Pingo Doce' and 'Continente' are main Portuguese supermarket chains!","Common for daily shopping",Vou ao supermercado.,I'm going to the supermarket.,O supermercado é perto.,The supermarket is nearby.,supermarket,"a loja;o mercado;o talho",5
025_06,o restaurante,the restaurant,oo hesh-tow-RAHN-tuh,vocabulary,beginner_1,"RESTAURANTE = rest-ow-RAN-teh - just like English!","Masculine. 'R' sounds like 'h' at start.","Portuguese restaurants serve big portions - 'meia dose' (half portion) is option!","'r' sounds like 'h'",Um bom restaurante.,A good restaurant.,O restaurante é caro.,The restaurant is expensive.,restaurant,"o café;a tasca;a pastelaria",6
025_07,o hospital,the hospital,oo ohsh-pee-TAHL,vocabulary,beginner_1,"HOSPITAL = os-pi-TAL - same as English but H is silent!","Masculine. 'H' is silent.","Portuguese healthcare is good - public system 'SNS' covers everyone!","'h' is silent at start",Onde é o hospital?,Where is the hospital?,Vou ao hospital.,I'm going to the hospital.,hospital,"a farmácia;o centro de saúde;a clínica",7
025_08,a farmácia,the pharmacy,ah fahr-MAH-syah,vocabulary,beginner_1,"FARMÁCIA = far-MA-sia - PHARMacy!","Feminine. Green cross sign outside.","Portuguese pharmacies are great - pharmacists give medical advice!","Common on every street in Portugal",A farmácia mais próxima?,The nearest pharmacy?,A farmácia está aberta.,The pharmacy is open.,pharmacy,"o hospital;o médico;a saúde",8
025_09,a estação,the station,ah eh-stah-SOWNG,vocabulary,beginner_1,"ESTAÇÃO = es-ta-SOWNG - STATION!","Feminine. Train or bus station. Nasal 'ão'.","'Estação de Santa Apolónia' is Lisbon's main international station!","Train or bus station",A estação de comboios.,The train station.,Onde é a estação?,Where is the station?,station,"o aeroporto;a paragem;o terminal",9
025_10,o aeroporto,the airport,oo ah-eh-roh-POR-too,vocabulary,beginner_1,"AEROPORTO = aero-POR-to - AIR PORT!","Masculine. Compound: aero + porto.","Lisbon airport 'Humberto Delgado' is close to city center - convenient!","International travel hub",O aeroporto de Lisboa.,Lisbon airport.,Vou ao aeroporto.,I'm going to the airport.,airport,"a estação;o porto;o terminal",10
025_11,a praia,the beach,ah PRY-ah,vocabulary,beginner_1,"PRAIA = PRY-a - cry 'PRAIA!' at the beach!","Feminine noun. Portugal has beautiful beaches.","Portugal's coastline: Algarve beaches in south surf beaches in north!","Portugal has beautiful beaches!",Vamos à praia.,Let's go to the beach.,A praia é linda.,The beach is beautiful.,beach,"o mar;a piscina;a costa",11
025_12,a igreja,the church,ah ee-GRAY-zhah,vocabulary,beginner_1,"IGREJA = ee-GRAY-ja - the great church!","Feminine. 'J' sounds like 'zh'.","Portuguese churches are stunning - 'Igreja dos Clérigos' in Porto is iconic!","'j' sounds like 'zh'",Uma igreja antiga.,An old church.,A igreja é bonita.,The church is beautiful.,church,"a catedral;o mosteiro;a capela",12
