word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
014_01,de,of/from,duh,grammar,beginner_1,"DE sounds like 'duh' - where are you FROM? DUH!","Contracts with articles: de+o=do de+a=da de+os=dos de+as=das.","'Sou de...' (I'm from...) is usually the first thing Portuguese ask foreigners!","Most common preposition - contracts with articles",Sou de Portugal.,I am from Portugal.,Uma chávena de café.,A cup of coffee.,from,"do;da;em",1
014_02,do,of the (masc),doo,grammar,beginner_1,"DO = DE + O combined - the O is DOing its job!","Contraction of de + o. Required - cannot say 'de o'.","'Do Porto' means both 'from Porto' and 'of Porto wine'!","Contraction of de + o",O café do hotel.,The hotel's coffee.,O centro do Porto.,The center of Porto.,contraction,"da;de;no",2
014_03,da,of the (fem),dah,grammar,beginner_1,"DA = DE + A - DA feminine contraction!","Contraction of de + a. Required - cannot say 'de a'.","'Da casa' appears in famous fado lyrics - the home is sacred!","Contraction of de + a",A porta da casa.,The door of the house.,A rainha da festa.,The queen of the party.,contraction,"do;de;na",3
014_04,em,in/on/at,aym,grammar,beginner_1,"EM sounds like 'aim' - AIM to be IN the right place!","Contracts: em+o=no em+a=na em+os=nos em+as=nas.","'Em Portugal' vs 'em Lisboa' - country vs city same preposition!","Location preposition - contracts with articles",Estou em Lisboa.,I am in Lisbon.,Trabalho em casa.,I work at home.,location,"no;na;de",4
014_05,no,in the (masc),noo,grammar,beginner_1,"NO = EM + O - NOW you're IN the place!","Contraction of em + o. Required with masculine definite article.","'No norte' (in the north) - where the famous vinho verde comes from!","Contraction of em + o",No hotel.,In the hotel.,No centro.,In the center.,contraction,"na;em;do",5
014_06,na,in the (fem),nah,grammar,beginner_1,"NA = EM + A - NAH I'm IN here!","Contraction of em + a. Required with feminine definite article.","'Na praia' (at the beach) - Portugal has amazing beaches!","Contraction of em + a",Na escola.,In the school.,Na praia.,At the beach.,contraction,"no;em;da",6
014_07,para,to/for,PAH-rah,grammar,beginner_1,"PARA sounds like PARROT - I'm going TO where the PARROT is!","Indicates direction/destination or purpose. Different from 'a'.","'Para' suggests permanence 'a' suggests temporary - subtle but important!","Direction or purpose",Vou para casa.,I'm going home.,Isto é para ti.,This is for you.,arrow,"por;a;de",7
014_08,por,by/through/for,poor,grammar,beginner_2,"POR sounds like POOR - the POOR go THROUGH hardship!","Multiple meanings: by (agent) through (location) for (exchange/reason).","'Obrigado por tudo' is a warm Portuguese way to express gratitude.","Various meanings - agent path exchange",Obrigado por tudo.,Thank you for everything.,Por aqui.,This way (through here).,through,"para;de;com",8
014_09,com,with,kohm,grammar,beginner_1,"COM sounds like COMB - I COMB my hair WITH a comb!","Shows accompaniment or means. 'Comigo' = with me 'contigo' = with you.","'Com certeza!' (with certainty/absolutely!) - enthusiastic agreement.","Accompaniment or instrument",Café com leite.,Coffee with milk.,Vou com ele.,I'm going with him.,together,"sem;de;em",9
014_10,sem,without,saym,grammar,beginner_1,"SEM sounds like 'same' - the SAME but WITHOUT something!","Opposite of 'com'. Used for absence of something.","'Sem problema' is the Brazilian way 'sem problema' works in Portugal too!","Opposite of com",Café sem açúcar.,Coffee without sugar.,Sem dúvida.,Without doubt.,without,"com;de;em",10
014_11,a,to/at,ah,grammar,beginner_2,"A is just 'ah' - AH I'm going TO there!","Direction or specific time. Contracts: a+o=ao a+a=à.","'A que horas?' (at what time?) - useful for scheduling in Portugal.","Direction or specific time",Vou a Lisboa.,I'm going to Lisbon.,Às duas horas.,At two o'clock.,to,"para;ao;à",11
014_12,ao,to the (masc),ow,grammar,beginner_2,"AO = A + O - sounds like 'ow' when you bump INTO something!","Contraction of a + o. Used with masculine nouns.","'Ao lado de' (next to) is essential for giving directions!","Contraction of a + o",Ao lado de.,Next to (at the side of).,Ao telefone.,On the phone.,contraction,"à;a;no",12
014_13,à,to the (fem),ah,grammar,beginner_2,"À = A + A - the accent shows TWO A's merged!","Contraction of a + a. Grave accent (`) marks the contraction.","'À noite' (at night) - when Portuguese nightlife really starts!","Contraction of a + a - note accent",À direita.,To the right.,À tarde.,In the afternoon.,contraction,"ao;a;na",13
