word_id,portuguese,english,sounds_like,tip,image,example_pt,example_en
028_01,o corpo,the body,oo KOR-poo,General term for body,body,O corpo humano.,The human body.
028_02,a cabeça,the head,ah kah-BEH-sah,'ç' sounds like 's',head,Dói-me a cabeça.,My head hurts.
028_03,o olho,the eye,oo OL-yoo,'lh' sounds like 'ly' - plural 'os olhos',eye,Tem olhos azuis.,He/she has blue eyes.
028_04,o nariz,the nose,oo nah-REESH,Ends in 'z' sound,nose,O nariz é grande.,The nose is big.
028_05,a boca,the mouth,ah BOH-kah,Used for eating and speaking,mouth,Abra a boca.,Open your mouth.
028_06,a orelha,the ear,ah oh-REL-yah,'lh' sounds like 'ly',ear,A orelha direita.,The right ear.
028_07,a mão,the hand,ah mowng,Nasal 'ão' - plural 'as mãos',hand,A mão esquerda.,The left hand.
028_08,o braço,the arm,oo BRAH-soo,'ç' sounds like 's',arm,O braço dói.,The arm hurts.
028_09,a perna,the leg,ah PEHR-nah,Lower limb,leg,A perna direita.,The right leg.
028_10,o pé,the foot,oo peh,Small word - plural 'os pés',foot,Dói-me o pé.,My foot hurts.
028_11,as costas,the back,ahsh KOHSH-tahsh,Always plural in Portuguese,back,Dói-me as costas.,My back hurts.
028_12,o estômago,the stomach,oo eh-STOH-mah-goo,For digestive complaints,stomach,Dói-me o estômago.,My stomach hurts.
