word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
029_01,o trabalho,the work/job,oo trah-BAH-lyoo,vocabulary,beginner_1,"TRABALHO = tra-BA-lyo - TRAvel to BALance your work!","Masculine. 'LH' sounds like 'ly'.","Portuguese work culture includes long lunch breaks - 'almoço' is important!","'lh' sounds like 'ly'",O meu trabalho é interessante.,My work is interesting.,Vou para o trabalho.,I'm going to work.,work,"o emprego;a profissão;a carreira",1
029_02,o médico,the doctor (m),oo MEH-dee-koo,vocabulary,beginner_1,"MÉDICO = ME-di-ko - MEDICal doctor!","Masculine. Refers to male doctor.","Portuguese doctors are well-respected - public health system 'SNS'!","Male doctor",O médico está ocupado.,The doctor is busy.,Vou ao médico.,I'm going to the doctor.,doctor_m,"a médica;o enfermeiro;o dentista",2
029_03,a médica,the doctor (f),ah MEH-dee-kah,vocabulary,beginner_1,"MÉDICA = ME-di-ka - female MEDICal doctor!","Feminine form of médico.","Many Portuguese doctors are women - medicine is popular field!","Female doctor",A médica é simpática.,The doctor is nice.,A médica examinou-me.,The doctor examined me.,doctor_f,"o médico;a enfermeira;a dentista",3
029_04,o professor,the teacher (m),oo proo-feh-SOR,vocabulary,beginner_1,"PROFESSOR = pro-fe-SOR - same as English professor!","Masculine. Used for teachers and professors.","Teachers are respected in Portugal - 'Dia do Professor' is October 5!","Male teacher/professor",O professor ensina bem.,The teacher teaches well.,O professor de português.,The Portuguese teacher.,teacher_m,"a professora;o aluno;a escola",4
029_05,a professora,the teacher (f),ah proo-feh-SOH-rah,vocabulary,beginner_1,"PROFESSORA = pro-fe-SO-ra - female professor!","Feminine form of professor.","Most primary school teachers in Portugal are women - 'professoras'!","Female teacher/professor",A professora é portuguesa.,The teacher is Portuguese.,A professora explica bem.,The teacher explains well.,teacher_f,"o professor;a aluna;a escola",5
029_06,o advogado,the lawyer (m),oo ahd-voo-GAH-doo,vocabulary,beginner_2,"ADVOGADO = ad-vo-GA-do - ADVOCATe lawyer!","Masculine. Male lawyer.","Law is a prestigious profession in Portugal - many politicians are 'advogados'!","Male lawyer",O advogado trabalha muito.,The lawyer works a lot.,Preciso de um advogado.,I need a lawyer.,lawyer_m,"a advogada;o juiz;o notário",6
029_07,a advogada,the lawyer (f),ah ahd-voo-GAH-dah,vocabulary,beginner_2,"ADVOGADA = ad-vo-GA-da - female advocate!","Feminine form of advogado.","Women lawyers are increasingly common in Portugal's legal profession!","Female lawyer",A advogada é competente.,The lawyer is competent.,A advogada defende o cliente.,The lawyer defends the client.,lawyer_f,"o advogado;a juíza;a notária",7
029_08,o estudante,the student (m/f),oo eh-stoo-DAHN-tuh,vocabulary,beginner_1,"ESTUDANTE = es-tu-DAN-te - one who STUDIES!","Same for male and female.","Portuguese universities date to 1290 - Coimbra is one of oldest in Europe!","Same for male and female",Sou estudante.,I am a student.,O estudante estuda muito.,The student studies a lot.,student,"o aluno;o professor;a escola",8
029_09,o empregado,the employee (m),oo em-preh-GAH-doo,vocabulary,beginner_2,"EMPREGADO = em-pre-GA-do - EMPLoyed person!","Masculine. Can also mean waiter.","'Empregado de mesa' specifically means waiter - common in restaurants!","Male employee/waiter",O empregado é simpático.,The employee is friendly.,O empregado serve a comida.,The waiter serves the food.,employee,"a empregada;o patrão;o colega",9
029_10,a empregada,the employee (f),ah em-preh-GAH-dah,vocabulary,beginner_2,"EMPREGADA = em-pre-GA-da - female employee!","Feminine. Can mean waitress or domestic worker.","'Empregada doméstica' means housekeeper - common in Portuguese households.","Female employee/waitress",A empregada trabalha aqui.,The employee works here.,A empregada é eficiente.,The employee is efficient.,employee_f,"o empregado;a patroa;a colega",10
029_11,o engenheiro,the engineer (m),oo en-zheh-NYAY-roo,vocabulary,beginner_2,"ENGENHEIRO = en-je-NYAY-ro - ENGiNEER!","Masculine. 'NH' like Spanish 'ñ'.","Engineering is prestigious in Portugal - 'engenheiro' is title of respect!","Male engineer",Ele é engenheiro.,He is an engineer.,O engenheiro desenha pontes.,The engineer designs bridges.,engineer,"a engenheira;o arquitecto;o técnico",11
029_12,a engenheira,the engineer (f),ah en-zheh-NYAY-rah,vocabulary,beginner_2,"ENGENHEIRA = en-je-NYAY-ra - female engineer!","Feminine form of engenheiro.","Women in STEM growing in Portugal - more 'engenheiras' every year!","Female engineer",Ela é engenheira.,She is an engineer.,A engenheira é especialista.,The engineer is a specialist.,engineer_f,"o engenheiro;a arquitecta;a técnica",12
