word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
027_01,o tempo,the weather/time,oo TEM-poo,vocabulary,beginner_1,"TEMPO = TEM-po - like TEMPO (time) and weather!","Context determines weather or time. Masculine.","'Como está o tempo?' is classic conversation starter in Portugal!","Context determines weather or time",Como está o tempo?,How is the weather?,Não tenho tempo.,I don't have time.,weather,"a temperatura;o clima;a hora",1
027_02,faz sol,it's sunny,fahsh sohl,phrase,beginner_1,"FAZ SOL = it MAKES sun - Portuguese weather verbs!","'Faz' + weather condition is common pattern.","Portugal has 300+ sunny days per year - 'faz sol' is common!","'faz' + weather condition",Hoje faz sol.,Today it's sunny.,Faz sol e calor.,It's sunny and hot.,sunny,"está a chover;faz frio;está nublado",2
027_03,está a chover,it's raining,sh-TAH ah shoo-VAIR,phrase,beginner_1,"ESTÁ A CHOVER = is SHOWERING down rain!","European Portuguese form. Brazil: 'está chovendo'.","'Chove' a lot in winter in Northern Portugal and Azores!","European PT form (Brazil: está chovendo)",Está a chover muito.,It's raining a lot.,Vai chover amanhã.,It's going to rain tomorrow.,rain,"faz sol;está nublado;há vento",3
027_04,faz frio,it's cold,fahsh FREE-oo,phrase,beginner_1,"FAZ FRIO = it makes FREEZE-o cold!","'Faz' for temperature feelings.","Portuguese houses often lack central heating - 'faz frio' indoors too!","'faz' for temperature feelings",Faz frio no inverno.,It's cold in winter.,Faz muito frio hoje.,It's very cold today.,cold,"faz calor;está fresco;está gelado",4
027_05,faz calor,it's hot,fahsh kah-LOR,phrase,beginner_1,"FAZ CALOR = makes CALORIE heat!","'Faz' for temperature. 'Calor' = heat.","Summer in Portugal can reach 40°C - 'faz muito calor'!","'faz' for temperature feelings",Faz calor no verão.,It's hot in summer.,Faz calor demais.,It's too hot.,hot,"faz frio;está fresco;está quente",5
027_06,está nublado,it's cloudy,sh-TAH noo-BLAH-doo,phrase,beginner_1,"ESTÁ NUBLADO = clouds are like a NUBE (veil)!","'Nublado' from 'nuvem' (cloud).","Cloudy days common in Lisbon winter - but mild temperature!","Cloud cover",Está nublado hoje.,It's cloudy today.,O céu está nublado.,The sky is cloudy.,cloudy,"faz sol;está a chover;há vento",6
027_07,há vento,it's windy,ah VEN-too,phrase,beginner_1,"HÁ VENTO = there IS wind - VENTilation!","'Há' (there is) + wind.","Portugal's coast is windy - great for surfing and wind energy!","'há' (there is) + wind",Há muito vento.,It's very windy.,Hoje há vento forte.,Today there's strong wind.,windy,"faz sol;está a chover;está nublado",7
027_08,está a nevar,it's snowing,sh-TAH ah neh-VAR,phrase,beginner_2,"ESTÁ A NEVAR = it's NEVAding (snowing)!","Rare in Portugal except mountains.","Snow in Serra da Estrela - Portugal's only ski resort!","Rare in Portugal except mountains",Está a nevar na Serra.,It's snowing in the mountains.,Raramente neva em Lisboa.,It rarely snows in Lisbon.,snowing,"está a chover;faz frio;há vento",8
027_09,o sol,the sun,oo sohl,vocabulary,beginner_1,"SOL = SOLE source of light - the sun!","Masculine noun.","Portuguese love sunbathing - 'apanhar sol' (catch sun) is national hobby!","Masculine noun",O sol está forte.,The sun is strong.,O sol nasceu.,The sun rose.,sun,"a lua;as nuvens;o céu",9
027_10,a chuva,the rain,ah SHOO-vah,vocabulary,beginner_1,"CHUVA = SHOO-va - rain goes SHOO away!","Feminine. 'Ch' like 'sh'.","Portuguese have many rain words: 'chuvisco' (drizzle) 'aguaceiro' (downpour)!","'ch' like 'sh'",A chuva é boa para as plantas.,Rain is good for plants.,Não gosto da chuva.,I don't like rain.,rain,"o sol;a neve;o vento",10
027_11,a temperatura,the temperature,ah tem-peh-rah-TOO-rah,vocabulary,beginner_1,"TEMPERATURA = tem-pe-ra-TU-ra - same as English!","Feminine noun. Common weather topic.","Portugal uses Celsius - '20 graus' is a nice day!","Common weather topic",A temperatura está agradável.,The temperature is pleasant.,Qual é a temperatura?,What's the temperature?,temperature,"o tempo;o clima;os graus",11
027_12,graus,degrees,growsh,vocabulary,beginner_1,"GRAUS = gra-USH - DEGREES (graducation marks)!","Used with numbers for temperature.","'Está a 25 graus' - that's a perfect Portuguese day!","Used with numbers for temperature",Vinte graus.,Twenty degrees.,Estão trinta graus.,It's thirty degrees.,degrees,"a temperatura;o termómetro;o clima",12
