word_id,portuguese,english,sounds_like,tip,image,example_pt,example_en
021_01,a família,the family,ah fah-MEE-lyah,Feminine noun - 'í' is stressed,family,A minha família é grande.,My family is big.
021_02,a mãe,the mother,ah mahng,Nasal vowel - air through nose,mother,A minha mãe é professora.,My mother is a teacher.
021_03,o pai,the father,oo pie,Like English 'pie',father,O meu pai é médico.,My father is a doctor.
021_04,os pais,the parents,oosh piesh,Can mean 'fathers' or 'parents',parents,Os meus pais moram no Porto.,My parents live in Porto.
021_05,o irmão,the brother,oo eer-MOWNG,Nasal 'ão' ending,brother,Tenho um irmão.,I have a brother.
021_06,a irmã,the sister,ah eer-MAHNG,Nasal 'ã' ending,sister,A minha irmã é mais velha.,My sister is older.
021_07,o filho,the son,oo FEEL-yoo,'lh' sounds like 'ly',son,O meu filho tem dez anos.,My son is ten years old.
021_08,a filha,the daughter,ah FEEL-yah,Feminine version,daughter,A minha filha estuda inglês.,My daughter studies English.
021_09,os filhos,the children/sons,oosh FEEL-yoosh,Can mean sons or children (mixed),children,Tenho dois filhos.,I have two children.
021_10,o avô,the grandfather,oo ah-VOH,Circumflex shows closed 'o',grandfather,O meu avô tem 80 anos.,My grandfather is 80 years old.
021_11,a avó,the grandmother,ah ah-VOH,Acute accent shows open 'o',grandmother,A minha avó cozinha bem.,My grandmother cooks well.
021_12,o marido,the husband,oo mah-REE-doo,From same root as 'marry',husband,O meu marido trabalha.,My husband works.
021_13,a mulher,the wife/woman,ah mool-YAIR,Context determines wife or woman,wife,A minha mulher é portuguesa.,My wife is Portuguese.
