word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
017_01,janeiro,January,zhah-NAY-roo,vocabulary,beginner_1,"JANEIRO = 'ja-NAY-ro' - JANuary but with ZH sound!","Masculine noun. 'Em janeiro' (in January). No capital letter in Portuguese.","New Year's in Portugal: fireworks over the Tagus lentils for luck!","'j' sounds like 'zh' in pleasure",Janeiro é frio.,January is cold.,Em janeiro começo a dieta.,In January I start the diet.,january,"fevereiro;dezembro;março",1
017_02,fevereiro,February,feh-veh-RAY-roo,vocabulary,beginner_1,"FEVEREIRO = FEVER-eiro - carnival FEVER month!","28 or 29 days. 'Fev' is common abbreviation.","Carnaval in February - Torres Vedras and Ovar have famous celebrations!","Carnival month in Portugal",Carnaval é em fevereiro.,Carnival is in February.,Fevereiro é curto.,February is short.,february,"janeiro;março;abril",2
017_03,março,March,MAR-soo,vocabulary,beginner_1,"MARÇO = MARCH-so - MARCHing into spring!","The 'ç' (cedilla) makes an 's' sound.","Spring arrives - time for 'queijadas de Sintra' (cheese tarts)!","The 'ç' sounds like 's'",Março é primavera.,March is spring.,Em março começa a primavera.,Spring begins in March.,march,"fevereiro;abril;maio",3
017_04,abril,April,ah-BREEL,vocabulary,beginner_1,"ABRIL sounds like 'a-BRILL-iant' spring month!","Associated with rain and Easter. 'Abril águas mil' = rainy.","25 de Abril is Freedom Day - celebrating the 1974 Carnation Revolution!","Similar to English",Abril águas mil.,April brings lots of rain.,Em abril não te descubras um fio.,Don't shed a thread in April.,april,"março;maio;junho",4
017_05,maio,May,MY-oo,vocabulary,beginner_1,"MAIO = MY-oh - MY favorite spring month!","Five letters for month five. Beautiful weather.","1 de Maio (May Day) is a public holiday - workers' day celebrations!","Like 'my' plus 'oo'",Maio é bonito.,May is beautiful.,Em maio há festas populares.,In May there are popular festivals.,may,"abril;junho;julho",5
017_06,junho,June,ZHOO-nyoo,vocabulary,beginner_1,"JUNHO = JUNE-yo with ZH sound - Santos Populares time!","The 'j' is 'zh' and 'nh' like Spanish 'ñ'.","Santos Populares in June - Lisbon celebrates St. Anthony with sardines!","'j' is 'zh' and 'nh' like Spanish ñ",Junho é verão.,June is summer.,Em junho há festas em Lisboa.,In June there are festivals in Lisbon.,june,"maio;julho;agosto",6
017_07,julho,July,ZHOO-lyoo,vocabulary,beginner_1,"JULHO = JULY-yo - 'lh' makes a 'ly' sound!","'Lh' sounds like 'ly' in million. Peak summer.","July is beach season - Portuguese flock to the Algarve!","'lh' sounds like 'ly'",Julho é quente.,July is hot.,Em julho vou à praia.,In July I go to the beach.,july,"junho;agosto;setembro",7
017_08,agosto,August,ah-GOSH-too,vocabulary,beginner_1,"AGOSTO = AH-GOSH-to - the August vacation gosh!","Traditional vacation month. Many businesses close.","August is 'férias' month - Lisbon empties as everyone heads to the beach!","Vacation month in Portugal",Agosto é férias.,August is holidays.,Em agosto não trabalho.,In August I don't work.,august,"julho;setembro;outubro",8
017_09,setembro,September,seh-TEM-broo,vocabulary,beginner_1,"SETEMBRO = sep-TEM-bro - back to school TEM-po!","School year begins. Weather still warm.","'Regresso às aulas' (back to school) - shopping for school supplies!","School starts in Portugal",Setembro começa a escola.,School starts in September.,Em setembro volto ao trabalho.,In September I return to work.,september,"agosto;outubro;novembro",9
017_10,outubro,October,oh-TOO-broo,vocabulary,beginner_1,"OUTUBRO = oc-TOO-bro - like October with OO!","Autumn arrives. Grape harvest time.","October is 'vindimas' (grape harvest) season - wine region celebrations!","Autumn month",Outubro é outono.,October is autumn.,Em outubro há vindimas.,In October there's grape harvest.,october,"setembro;novembro;dezembro",10
017_11,novembro,November,noh-VEM-broo,vocabulary,beginner_1,"NOVEMBRO = no-VEM-bro - NOVember with EM sound!","São Martinho (St. Martin's Day) on Nov 11.","11 de Novembro is 'São Martinho' - roasted chestnuts and new wine!","Getting colder",Novembro é frio.,November is cold.,Em novembro há castanhas.,In November there are chestnuts.,november,"outubro;dezembro;janeiro",11
017_12,dezembro,December,deh-ZEM-broo,vocabulary,beginner_1,"DEZEMBRO = de-ZEM-bro - DECember with ZEM sound!","Christmas month. 'Natal' = Christmas.","Portuguese Christmas: Bacalhau on Dec 24 'consoada' dinner with family!","Christmas month",Dezembro é Natal.,December is Christmas.,Em dezembro há férias.,In December there are holidays.,december,"novembro;janeiro;fevereiro",12
