word_id,portuguese,english,sounds_like,tip,image,example_pt,example_en
019_01,falar,to speak,fah-LAR,Most common -AR verb - base for conjugation,speaking,Falar português.,To speak Portuguese.
019_02,eu falo,I speak,AY-oo FAH-loo,-AR verbs: remove -ar add -o for eu,person_speaking,Eu falo inglês.,I speak English.
019_03,tu falas,you speak,too FAH-lahsh,-AR verbs: -as for tu,friends_talking,Tu falas português?,Do you speak Portuguese?
019_04,ele fala,he speaks,EL-uh FAH-lah,-AR verbs: -a for ele/ela/você,man_speaking,Ele fala bem.,He speaks well.
019_05,nós falamos,we speak,nohsh fah-LAH-moosh,-AR verbs: -amos for nós,group_speaking,Nós falamos português.,We speak Portuguese.
019_06,eles falam,they speak,EL-ush FAH-lahm,-AR verbs: -am for eles/elas,group,Eles falam francês.,They speak French.
019_07,trabalhar,to work,trah-bah-LYAR,Common -AR verb,working,Trabalhar é importante.,Working is important.
019_08,eu trabalho,I work,AY-oo trah-BAH-lyoo,Note the 'lh' sound like 'ly',person_working,Eu trabalho em Lisboa.,I work in Lisbon.
019_09,gostar de,to like,gosh-TAR duh,Always followed by 'de' - important!,heart,Gosto de café.,I like coffee.
019_10,morar,to live/reside,moo-RAR,Where you live,house,Eu moro em Portugal.,I live in Portugal.
019_11,estudar,to study,eh-stoo-DAR,Common for students,studying,Estudo português.,I study Portuguese.
019_12,comprar,to buy,kohm-PRAR,Useful for shopping,shopping,Vou comprar pão.,I'm going to buy bread.
