word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
005_01,um,a/one (masc),oom,grammar,beginner_1,"UM sounds like 'oom' - imagine going 'oom' when you see ONE thing","Masculine singular indefinite article. Also means 'one'.","In Portugal 'um' is often used when ordering - 'Um café' (a/one coffee).","Nasal 'u' - used for masculine singular nouns",Um café por favor.,A coffee please.,Tenho um carro.,I have a car.,one,"uma;uns;umas",1
005_02,uma,a/one (fem),OO-mah,grammar,beginner_1,"UMA = UM + A for feminine. Think 'Um-ah one lady!'","Feminine singular indefinite article. Also means 'one'.","'Uma bica' (an espresso) is how locals order coffee in Lisbon!","Used for feminine singular nouns",Uma água por favor.,A water please.,Vejo uma casa.,I see a house.,one,"um;uns;umas",2
005_03,uns,some (masc),oonsh,grammar,beginner_2,"UNS = UM + S. 'Oons some things!'","Masculine plural indefinite. The 's' sounds like 'sh' in European Portuguese.","Portuguese often drop 'uns/umas' in casual speech - just say 'livros novos'.","Plural indefinite for masculine nouns",Uns livros novos.,Some new books.,Comprei uns sapatos.,I bought some shoes.,some,"um;uma;umas",3
005_04,umas,some (fem),OO-mahsh,grammar,beginner_2,"UMAS = UMA + S. Think 'Oomash some ladies!'","Feminine plural indefinite article.","'Umas cervejas' (some beers) is a common order at Portuguese tascas (taverns).","Plural indefinite for feminine nouns",Umas casas antigas.,Some old houses.,Umas flores bonitas.,Some beautiful flowers.,some,"um;uma;uns",4
005_05,um homem,a man,oom OH-maym,vocabulary,beginner_1,"'Oh MAN!' sounds like HOMEM - that's a man!","Article + noun combo. 'Homem' needs 'um' (masculine).","'Um homem de palavra' means a man of his word - highly valued in Portuguese culture.","Indefinite article with masculine noun",É um homem alto.,He's a tall man.,Vi um homem na rua.,I saw a man in the street.,man,"uma mulher;um menino;uma menina",5
005_06,uma mulher,a woman,OO-mah mool-YAIR,vocabulary,beginner_1,"MUL-HER: A MULE carrying HER bags - that woman works hard!","Article + noun combo. 'Mulher' needs 'uma' (feminine).","Portuguese women are often highly educated - highest rate of female managers in EU!","Indefinite article with feminine noun",É uma mulher simpática.,She's a nice woman.,Conheço uma mulher portuguesa.,I know a Portuguese woman.,woman,"um homem;um menino;uma menina",6
005_07,um copo,a glass,oom KOH-poo,vocabulary,beginner_1,"COPO sounds like 'cop-oh' - imagine a COP holding his glass","'Copo' is masculine - use 'um'. Plural: copos.","'Um copo de vinho' is the traditional way to order wine in Portugal.","Useful for ordering drinks",Um copo de água.,A glass of water.,Quero um copo de vinho.,I want a glass of wine.,glass,"uma chávena;um prato;uma garrafa",7
005_08,uma chávena,a cup,OO-mah SHAH-veh-nah,vocabulary,beginner_2,"CHÁVENA sounds like 'shave-ena' - shave in a cup-sized mirror","European Portuguese word. Brazil uses 'xícara'. Use 'uma' (feminine).","Portugal is famous for its coffee culture - 'uma bica' in Lisbon 'um cimbalino' in Porto!","European PT word (Brazil uses 'xícara')",Uma chávena de café.,A cup of coffee.,Uma chávena de chá.,A cup of tea.,cup,"um copo;um prato;uma garrafa",8
005_09,um prato,a plate,oom PRAH-too,vocabulary,beginner_1,"PRATO sounds like 'prat-oh' - the plate goes SPLAT-OH if dropped","'Prato' is masculine - use 'um'. Also means 'dish' (as in food dish).","'Prato do dia' (dish of the day) is often the best value at Portuguese restaurants!","Used when ordering food",Um prato de bacalhau.,A plate of codfish.,O prato está quente.,The plate is hot.,plate,"um copo;uma chávena;uma garrafa",9
005_10,uma garrafa,a bottle,OO-mah gah-HAH-fah,vocabulary,beginner_2,"GARRAFA sounds like 'ga-RAFF-a' - a giraffe drinking from a bottle","'Garrafa' is feminine - use 'uma'. The 'rr' is rolled in Portuguese.","Portuguese wine bottles often have unique regional shapes - recognizable by locals!","Useful for ordering drinks",Uma garrafa de vinho.,A bottle of wine.,Uma garrafa de água.,A bottle of water.,bottle,"um copo;uma chávena;um prato",10
