word_id,portuguese,english,pronunciation,type,difficulty,mnemonic,grammar_notes,cultural_note,tip,example1_pt,example1_en,example2_pt,example2_en,image,distractors,exercise_order
026_01,o carro,the car,oo KAH-hoo,vocabulary,beginner_1,"CARRO = KA-ho - the 'rr' rolls like a motor!","Masculine. 'RR' in middle is strongly rolled.","Portuguese often say 'carro' even for nice cars - 'automóvel' is formal.","Rolled 'rr' in middle",Tenho um carro novo.,I have a new car.,O carro é vermelho.,The car is red.,car,"o autocarro;a mota;a bicicleta",1
026_02,o autocarro,the bus,oo ow-too-KAH-hoo,vocabulary,beginner_1,"AUTOCARRO = auto-CARRO - a SELF-moving CAR (big one)!","European Portuguese. Brazil uses 'ônibus'.","Lisbon's 'autocarros' are part of Carris network - efficient system!","European PT (Brazil uses 'ônibus')",O autocarro para o centro.,The bus to the center.,Apanhar o autocarro.,To catch the bus.,bus,"o carro;o comboio;o metro",2
026_03,o comboio,the train,oo kohm-BOY-oo,vocabulary,beginner_1,"COMBOIO = com-BOY-o - a convoy of train cars!","European Portuguese. Brazil uses 'trem'.","CP (Comboios de Portugal) runs national trains - scenic routes!","European PT (Brazil uses 'trem')",O comboio das dez.,The ten o'clock train.,Vou de comboio para o Porto.,I'm going to Porto by train.,train,"o autocarro;o metro;o avião",3
026_04,o metro,the subway/metro,oo MEH-troo,vocabulary,beginner_1,"METRO = MEH-tro - same as English METRO!","Masculine. Lisbon and Porto have metros.","Lisbon metro has beautiful tile art in stations - worth visiting!","Lisbon and Porto have metros",Vou de metro.,I'm going by metro.,A estação de metro.,The metro station.,metro,"o comboio;o autocarro;o elétrico",4
026_05,o avião,the plane,oo ah-vee-OWNG,vocabulary,beginner_1,"AVIÃO = avi-ÃO - AVIation with nasal ending!","Masculine. Nasal 'ão' ending.","TAP Air Portugal is national airline - 'Transportes Aéreos Portugueses'!","Nasal 'ão' ending",O avião para Lisboa.,The plane to Lisbon.,O avião parte às dez.,The plane leaves at ten.,airplane,"o comboio;o barco;o helicóptero",5
026_06,o barco,the boat,oo BAR-koo,vocabulary,beginner_1,"BARCO = BAR-ko - think of a BARK boat!","Masculine. Also 'ferry' for ferries.","Cacilhas ferry crosses Tagus - amazing Lisbon views!","Ferry important in Lisbon",O barco para Cacilhas.,The boat to Cacilhas.,Vou de barco.,I'm going by boat.,boat,"o avião;o navio;a canoa",6
026_07,a bicicleta,the bicycle,ah bee-see-KLEH-tah,vocabulary,beginner_1,"BICICLETA = bi-si-KLE-ta - BICYCLE!","Feminine noun.","'Gira' is Lisbon's bike-sharing system - cycling growing!","Cycling is growing in Portugal",Vou de bicicleta.,I go by bicycle.,Tenho uma bicicleta nova.,I have a new bicycle.,bicycle,"a mota;o carro;a trotinete",7
026_08,a pé,on foot,ah peh,phrase,beginner_1,"A PÉ = 'a pay' - PAY with your feet (walking)!","Phrase meaning 'on foot'. 'Pé' = foot.","Portuguese cities are walkable - 'a pé' is common in old towns!","Walking",Vou a pé.,I go on foot.,Fico a cinco minutos a pé.,It's five minutes on foot.,walking,"de carro;de metro;de autocarro",8
026_09,o bilhete,the ticket,oo beel-YET,vocabulary,beginner_1,"BILHETE = bil-YE-te - your BILL-yet for travel!","Masculine. For transport or events. 'LH' like 'ly'.","'Viva Viagem' card is Lisbon's reusable transport ticket!","For transport or events",Um bilhete por favor.,A ticket please.,Onde compro bilhetes?,Where do I buy tickets?,ticket,"o passe;a passagem;o recibo",9
026_10,a paragem,the stop (bus),ah pah-RAH-zhaym,vocabulary,beginner_2,"PARAGEM = pa-RA-jem - where you PAUSE (stop)!","European Portuguese for bus stop.","Look for yellow 'paragem' signs for bus stops in Portugal!","European PT for bus stop",A paragem de autocarro.,The bus stop.,A próxima paragem.,The next stop.,bus_stop,"a estação;o terminal;a saída",10
026_11,ida e volta,round trip,EE-dah ee VOL-tah,phrase,beginner_2,"IDA E VOLTA = going AND returning!","'Ida' = going 'volta' = return.","'Ida e volta' tickets are usually cheaper than two 'só ida'!","For buying return tickets",Um bilhete de ida e volta.,A round trip ticket.,Ida e volta para o Porto.,Round trip to Porto.,round_trip,"só ida;direto;com escalas",11
026_12,só ida,one way,soh EE-dah,phrase,beginner_2,"SÓ IDA = ONLY going (one way)!","'Só' = only. Single journey ticket.","Use 'só ida' when you don't know return date.","Single journey ticket",Só ida para o Porto.,One way to Porto.,Um bilhete só ida.,A one-way ticket.,one_way,"ida e volta;direto;com escalas",12
